customer_id,order_date,order_total,product_id,quantity
Alice,2023-10-26,100,1,1
Farid,2023-10-26,50,2,2
Bob,2023-10-26,150,3,1
Steve,2023-10-26,75,4,3
Carol,2023-10-26,200,5,2
Caroline,2023-10-26,100,6,1
Alicar,2023-10-27,120,7,1
Allen,2023-10-27,60,8,2
Bobov,2023-10-27,180,9,1
Makeev,2023-10-27,90,10,3
Malik,2023-10-27,250,11,2
Mehdi,2023-10-27,125,12,1
David,2023-10-27,160,13,1
Dave,2023-10-27,80,14,2
Evre,2023-10-27,210,15,2
Ever,2023-10-27,105,16,1
Frankolin,2023-10-27,140,17,1
Frank,2023-10-27,70,18,2
Gracre,2023-10-27,190,19,2
Grace,2023-10-27,95,20,1
Kamil,2023-10-27,230,21,2
Tony,2023-10-27,115,22,1
John,2023-10-27,150,23,1
Isaac,2023-10-27,75,24,2
Jackie,2023-10-27,200,25,2
Jack,2023-10-27,100,26,1
